order_id,date,customer_id,product,category,region,city,quantity,unit_price,discount_pct,revenue
ORD10210,2023-01-01,C1098,Shirt,Clothing,East,Lahore,2,2847.0,10,5125.0
ORD10496,2023-01-01,C1033,Phone,Electronics,East,Faisalabad,7,20975.0,5,139484.0
ORD10173,2023-01-02,C1777,Jeans,Clothing,North,Islamabad,2,4056.0,15,6895.0
ORD10081,2023-01-02,C1042,Biology,Books,West,Quetta,5,515.0,5,2446.0
ORD10240,2023-01-02,C1880,Jacket,Clothing,North,Islamabad,4,3688.0,0,14752.0
ORD10519,2023-01-03,C1457,Python,Books,West,Peshawar,5,756.0,10,3402.0
ORD10534,2023-01-05,C1130,Analytics,Books,West,Peshawar,5,1111.0,0,5555.0
ORD10384,2023-01-06,C1258,Analytics,Books,South,Hyderabad,3,1074.0,0,3222.0
ORD10101,2023-01-06,C1084,Shirt,Clothing,South,Karachi,4,3207.0,0,12828.0
ORD10491,2023-01-08,C1468,History,Books,East,Lahore,3,1000.0,10,2700.0
ORD10370,2023-01-09,C1903,Headphones,Electronics,West,Quetta,3,27027.0,10,72973.0
ORD10246,2023-01-09,C1433,Python,Books,East,Faisalabad,1,813.0,0,813.0
ORD10158,2023-01-09,C1804,Phone,Electronics,South,Hyderabad,4,34584.0,0,138336.0
ORD10345,2023-01-09,C1848,Shoes,Clothing,North,Islamabad,1,3196.0,0,3196.0
ORD10144,2023-01-11,C1702,Python,Books,West,Peshawar,7,702.0,0,4914.0
ORD10169,2023-01-12,C1772,History,Books,South,Hyderabad,3,739.0,10,1995.0
ORD10411,2023-01-12,C1126,Biology,Books,West,Quetta,4,539.0,5,2048.0
ORD10012,2023-01-12,C1276,Tablet,Electronics,West,Peshawar,5,23734.0,0,118670.0
ORD10490,2023-01-12,C1851,Laptop,Electronics,West,Quetta,4,22866.0,15,77744.0
ORD10363,2023-01-13,C1446,Jacket,Clothing,South,Karachi,6,3048.0,10,16459.0
ORD10260,2023-01-13,C1282,Charger,Electronics,West,Quetta,1,18150.0,0,18150.0
ORD10585,2023-01-13,C1759,Charger,Electronics,South,Karachi,3,20485.0,10,55310.0
ORD10597,2023-01-14,C1090,Laptop,Electronics,North,Rawalpindi,5,27570.0,0,137850.0
ORD10431,2023-01-15,C1149,Mask,Healthcare,South,Hyderabad,3,1201.0,0,3603.0
ORD10294,2023-01-15,C1728,Mask,Healthcare,South,Hyderabad,7,1150.0,5,7648.0
ORD10261,2023-01-15,C1236,Honey,Food,North,Islamabad,4,540.0,20,1728.0
ORD10099,2023-01-16,C1433,Tablet,Electronics,South,Hyderabad,3,16601.0,10,44823.0
